7:00 PM	Fla Int'l	UTEP	Fla Int'l	-5				CUSA	CUSA	10/8/2016	CFB	2016	12	49	20161249
8:00 PM	California	Oregon St	Oregon St	-13				Pac12	Pac12	10/8/2016	CFB	2016	12	50	20161250
9:00 PM	Arizona	Utah	Arizona	-10		24		Pac12	Pac12	10/8/2016	CFB	2016	12	51	20161251
9:00 PM	Utah St	Colorado St	Colorado St	-5.5				MtnW	MtnW	10/8/2016	CFB	2016	12	52	20161252
9:30 PM	UCLA	Arizona St	Arizona St	-7				Pac12	Pac12	10/8/2016	CFB	2016	12	53	20161253
9:30 PM	UNLV	SDSU	UNLV	-14.5				MtnW	MtnW	10/8/2016	CFB	2016	12	54	20161254
9:30 PM	Wash St	Stanford	Wash St	-9.5		15		Pac12	Pac12	10/8/2016	CFB	2016	12	55	20161255
7:25 PM	Arizona	San Francisco	San Francisco	-2.5	0	0	0	NFC-W	NFC-W	10/6/2016	NFL	2016	13	1	20161301
12:00 PM	Houston	Minnesota	Houston	-6	0	0	0	AFC-S	NFC-N	10/9/2016	NFL	2016	13	2	20161302
12:00 PM	Tennessee	Miami	Tennessee	-3.5	0	0	0	AFC-S	AFC-E	10/9/2016	NFL	2016	13	3	20161303
12:00 PM	New England	Cleveland	Cleveland	-10	0	0	0	AFC-E	AFC-N	10/9/2016	NFL	2016	13	4	20161304
12:00 PM	New York Jets	Pittsburgh	New York Jets	-7	0	0	0	AFC-E	AFC-N	42652	NFL	2016	13	5	20161305
12:00 PM	Washington	Baltimore	Washington	-3.5	0	0	0	NFC-E	AFC-N	10/9/2016	NFL	2016	13	6	20161306
12:00 PM	Philadelphia	Detroit	Detroit	-2.5	0	0	0	NFC-E	NFC-N	10/9/2016	NFL	2016	13	7	20161307
12:00 PM	Chicago	Indianapolis	Chicago	-4	0	0	0	NFC-N	AFC-S	42652	NFL	2016	13	8	20161308
3:05 PM	Atlanta	Denver	Atlanta	-6	0	0	0	NFC-S	AFC-W	10/9/2016	NFL	2016	13	9	20161309
3:25 PM	Buffalo	Los Angeles	Buffalo	-2.5	0	0	0	AFC-E	AFC-W	10/9/2016	NFL	2016	13	10	20161310
3:25 PM	San Diego	Oakland	San Diego	-4	0	0	0	AFC-W	AFC-W	10/9/2016	NFL	2016	13	11	20161311
3:25 PM	Cincinnati	Dallas	Cincinnati	-1	0	0	0	AFC-N	NFC-E	10/9/2016	NFL	2016	13	12	20161312
7:30 PM	New York Giants	Green Bay	New York Giants	-7	0	0	0	NFC-E	NFC-N	10/9/2016	NFL	2016	13	13	20161313
7:30 PM	Tampa Bay	Carolina	Tampa Bay	NO LINE	0	0	0	NFC-S	NFC-S	10/10/2016	NFL	2016	13	14	20161314
